영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
위대한 소원,2016-04-21,-1854963083,-1854963083,308398,308398,524,22769,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,코미디,남대중,"류덕환,김동영,안재홍,전노민,전미선,장원식,양정인,조우진,우지원,유정래,윤도영,이상민,이소정,이소정,이원희,한기업,한민석,황슬빛나,황용,박정헌,이홍내"
브라보! 재즈 라이프,2010-12-16,1022000,37225300,374,5110,1,35,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,남무성,"남무성,조성준,김희동,최정훈,홍종민,김은민,박종우,조윤성,남무성,황태연,노상현,이동기,차정훈,유영수,임인건,임재필,김수열,전계숙,이원술,이한진,김준"
하동채복: 두 사람의 노래,,1080000,1080000,216,216,1,4,한국,,,다큐멘터리,남승석,"김하동,김채복"
분장,2017-09-27,21236800,24102900,2914,3318,17,396,한국,무브먼트,15세이상관람가,드라마,남연우,"안성민,홍정호,박보연,박세준,박준서,전민희,정권지,정효진,최정길,이상민,이상화,이수광,이승희,이왕형,이호성,남연우,김주현,김정영,오도이,양조아,양조아,허지원,허정도,강지혜"
초미의 관심사,2020-05-27,128865360,128865360,16160,16160,380,4581,한국,(주)트리플픽쳐스,15세이상관람가,드라마,남연우,"조민수,김은영,김희상,강현성,고기혁,고병진,권량금,권순호,김남호,김덕현,김미정,김민경,김민석,김민영,김민주,김민지,김보라,김성욱,김성욱,김소현,김승윤,김영경,김영수,김예지,김용완,김우규,김정환,김지성,김지은,김지훈,김향란,김현필,김현필,김혜영,나나,나도율,넬리,류대용,박경미,박보연,박세준,박소연,박소연,박수연,박순연,박시원,박영준,박정은,박종빈,박종화,박창준,박혜진,박홍민,배강우,백우궁,서강원,서윤희,서은경,서종민,선일규,손은수,송지은,신유진,신재환,신혜정,신혜정,안리나,안성민,안아주,안준현,양우성,다은,오도이,오수현,오우리,오지연,오태훈,유정하,유정하,육희선,윤다미,윤민영,윤신일,윤신일,윤지은,윤혜리,차예진,이규호,이다은,이돈구,최윤실,최윤조,최인영,최지수,이소산명,이수광,하병우,이여운,한동환,이예리,이오디,이용출,한영수,한태은,이일희,함규훈,허정도,이정빈,홍상표,이정은,홍수영,홍유진,이종훈,이종훈,홍정호,황성식,이창석,정형규,정회인,조단비,이혜원,조성익,조유영,임화영,주찬규,정지환,정진섭,전남표,전병혁,정민희,정가영,정관민,정연식,정만식,정미남,김 솔,김 솔,임석진"
검은 비상선,,416000,416000,208,208,1,18,한국,,,드라마,남태권,"강신성일,남정임,김성옥"
월성,2019-12-12,44165260,44165260,5321,5321,26,258,한국,(주)리틀빅픽쳐스,전체관람가,다큐멘터리,"남태제,김성환","황분희,오연재,김진선,오순자,신용화,이상홍,이은정,이진섭,이균도,김추자,감복순,이선옥,조영남,신정숙,서수남,김경순,김채연,김석화,한경현,김바윤,김동규,최석환,장재희"
뜨거운 안녕,2013-05-30,315291000,315291000,47105,47105,172,3497,한국,(주)나이너스엔터테인먼트,12세이상관람가,드라마,남택수,"이홍기,마동석,임원희,백진희,전민서,심이영,김상선,황주원,남택수,박재현,최권,차종호,이민아,곽자형,백익남"
스피릿 오브 베토벤,2014-12-10,0,1164000,0,291,1,6,한국,,,,남평희,
내아들의여자들,2018-08-31,5000,5000,1,1,1,1,한국,,[국내] 청소년 관람불가,멜로/로맨스,남현수,
내아들의여자들-무삭제,2018-10-12,5000,5000,1,1,1,1,한국,,,,남현수,
내형의여자친구,2018-04-20,5000,5000,1,1,1,1,한국,,[국내] 청소년 관람불가,멜로/로맨스,남현수,
내형의여자친구-무삭제,2018-05-25,5000,5000,1,1,1,1,한국,,,,남현수,
후배부부와 교환섹스,2018-06-29,5000,5000,1,1,1,1,한국,,[국내] 청소년 관람불가,멜로/로맨스,남현수,
후배부부와 교환섹스-무삭제,2018-08-03,639000,644000,109,110,19,19,한국,,,,남현수,
그링고,2020-03-05,43189500,43189500,7816,7816,45,474,미국,(주)영화사 진진,15세이상관람가,액션,내쉬 에드게톤,"데이빗 오예로워,샤를리즈 테론,조엘 에저튼,아만다 사이프리드,탠디 뉴튼"
왓 위민 원트,2001-01-13,6000,206000,2,42,1,1,영국,튜브엔터테인먼트,15세 관람가 ,멜로/로맨스,낸시 마이어스,"멜 깁슨,헬렌 헌트,마리사 토메이"
사랑은 너무 복잡해,2010-03-11,212000,1741964000,30,234113,1,3,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,멜로/로맨스,낸시 마이어스,"메릴 스트립,알렉 볼드윈,스티브 마틴"
로맨틱 홀리데이,2006-12-14,0,-1244015592,0,1165157,1,1,미국,UIP코리아,15세이상관람가,코미디,낸시 마이어스,"카메론 디아즈,케이트 윈슬렛"
인턴,2015-09-24,-1542568724,-1542568724,3611166,3611166,659,81589,미국,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드 니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스"
유니온 스퀘어,2013-06-19,500000,500000,100,100,1,1,미국,(주)나우콘텐츠,15세이상관람가,드라마,낸시 사보카,"미라 소르비노,마이클 리스폴리"
이디야와 얼음왕국의 전설,2014-02-27,119493200,119493200,18179,18179,136,987,캐나다,(주)미디어데이,전체관람가,애니메이션,낸시 플로렌스 사바드,"장민혁,윤세웅,최정현"
다른 사람의 구두,,21390,21390,30,30,1,3,불가리아,,,,네다 모르포바,
엘리노어 릭비: 그 여자,2015-04-09,77773300,77773300,9233,9233,18,398,미국,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제시카 차스테인,제임스 맥어보이"
엘리노어 릭비: 그 남자,2015-04-09,80908700,80908700,9593,9593,18,451,미국,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인"
엘리노어 릭비: 그 남자 그 여자,2015-04-09,380826400,385681400,47254,47813,212,4013,미국,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트"
마린 스토리,,600000,600000,117,117,1,4,미국,,,드라마,네드 파,"드리야 웨버,파리 P. 픽카드,크리스틴 모라드"
세상의 종말을 예언하는 소년: 프로디지,2019-10-02,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,[국내] 15세 관람가,드라마,네이든 리온,
싸이코 킬러,2018-11-16,4460000,7182000,892,1388,2,6,미국,제인앤유,[국내] 청소년 관람불가,공포,네이선 올리버,
라푼젤,2011-02-10,8586000,1613700908,1236,1016267,5,49,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,"네이슨 그레노,바이론 하워드","제커리 리바이,맨디 무어"
로봇전쟁,2017-10-26,54000,54000,19,19,5,19,영국,케이티하이텔(주),12세이상관람가,액션,네일 로우,이안 로우
밤의 여인 1%의 섹스,2013-12-26,286000,286000,131,131,1,3,일본,(주)영화사폴,청소년관람불가,드라마,네즈미센 파이,하코다 신스케
여상사의 남자직원 사냥,2016-09-23,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
월세부인,2016-09-10,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,네지메 지로,타치바나 지로
젊은 유부녀들: 1대3 섹스,2016-09-23,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
친구엄마: 은밀한 유혹 무삭제판,2016-11-25,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,네지메 지로,콘노 미카
술 취해 섹스한 날,2017-05-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,네지메 지로,이노우에 카나
아내의 동창회: 원나잇 섹스,2017-03-17,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
젊은 형수: 홍콩 가는 날,2017-05-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,네지메 지로,이노모토 하루코
친구 애인과 몰래한 섹스,2017-05-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,네지메 지로,이노우에 카나
근친의 사랑3:양아버지,2018-01-26,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
나쁜 섹스:신입 보험영업,2018-02-07,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
밀애:어린 새엄마,2018-01-26,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
빼앗긴 아내: 이웃남자,2018-01-03,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
새아빠,2018-03-16,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
스릴정사:은밀하게 깊숙이,2017-10-31,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,멜로/로맨스,네지메 지로,
