영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
더 페이버릿: 여왕의 여자,2019-02-21,1380191276,1380191276,164372,164372,128,5748,미국,이십세기폭스코리아(주),15세이상관람가,드라마,요르고스 란티모스,"올리비아 콜맨,엠마 스톤,레이첼 와이즈,니콜라스 홀트,마크 게티스,조 알윈"
아고라 : 민주주의에서 시장으로,,1068000,1068000,218,218,1,5,그리스,,,다큐멘터리,요르고스 아브게로폴로스,
프라이버시,2013-06-13,1346000,1346000,228,228,3,43,미국,(주)나우콘텐츠,15세이상관람가,스릴러,요르그 일레,"존 쉐퍼드,지나 부쉬"
들키지 않으면 불륜,2017-05-25,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요리다 헤이스케,
어린 나이에 결혼한 사요,2017-05-18,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요리다 헤이스케,
터진 욕정의 유부녀,2017-04-20,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요리다 헤이스케,
바람의 이야기,,120000,120000,22,22,1,3,프랑스,,,다큐멘터리,요리스 이벤스,
꽃새장여인 : 네코짱,2014-07-16,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요리코 쥰,모리노 미사키
꼬장꼬장 슈콜닉 교수의 남모를 비밀,,250000,250000,38,38,1,1,이스라엘,(주)싸이더스,,드라마,요세프 세다르,"리오르 애쉬케나지,엘머 잭"
사하라 사막의 모래,,40866,40866,49,49,1,4,체코,,,드라마,요세프 투카,
스탈린그라드: 최후의 전투,1997-06-28,2360000,2360000,540,540,4,30,독일,예지림엔터테인먼트,"고등학생이상관람가,15세이상관람가",전쟁,요셉 빌스마이어,토마스 크레취만
운명의 산 낭가 파르밧,2013-12-12,35000,5113000,7,812,1,1,독일,주식회사 마운틴픽쳐스,전체관람가,드라마,요셉 빌스마이어,"플로리안 슈테터,안드레아스 토비아스"
백은제국,2013-12-24,4840000,4840000,5340,5340,5,43,중국,스크린조이,15세이상관람가,액션,요수화,"곽부성,학뢰"
데드 앤 곤,2012-03-29,14000,14000,2,2,1,1,미국,㈜코리아스크린,청소년관람불가,미스터리,요시 새슨,"쿠엔틴 존스,캐서린 베이츠"
호타루의 빛,2012-09-06,23127500,23127500,2989,2989,13,235,일본,"골든타이드픽처스(주),(주)영화사 조제",12세이상관람가,멜로/로맨스,요시노 히로시,"아야세 하루카,후지키 나오히토,마츠유키 야스코,테고시 유야,야스다 켄,이타야 유카"
노브라 옆집 유부녀,2019-07-16,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,요시다 누마,하루나 하나
