■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2005-01-01~2006-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
44,청춘만화,2006-03-23,"9,785,168,000",0.6%,"9,785,168,000","1,567,514","1,567,514",298,"32,939",한국,한국,㈜팝콘필름,(주)쇼박스,12세관람가,"코미디,멜로/로맨스",이한,"권상우,김하늘,이상우,강기화,김효경,홍수연,김희숙,박정섭,최현경,박진아,서지은,김광태,원진,김선웅,임혜진,박상원,임재강,박승범,최영주,정승혜,임희재,이영철,이경진,장미인애,조덕제,이영란,최종률,정강희"
45,흡혈형사 나도열,2006-02-09,"9,693,558,300",0.6%,"9,693,558,300","1,563,579","1,563,579",243,"30,494",한국,한국,"영화사청어람(주),(주)에스엠필름",(주)쇼박스,15세관람가,"코미디,드라마",이시명,"김수로,조여정,김은경,최윤경,이동은,윤신애,백민정,이민아,박영수,김혜연,박은영,나윤주,고미숙,유희정,손병호,김인문,진용욱,손석배,정종열"
46,잠복근무,2005-03-17,"9,590,663,500",0.6%,"9,590,663,500","1,533,225","1,533,225",214,"32,277",한국,한국,"(주)마인엔터테인먼트 ,시리우스픽쳐스(주)",(주)쇼박스,15세관람가,"코미디,액션",박광춘,"김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식"
47,연애의 목적,2005-06-10,"9,846,423,390",0.6%,"9,846,423,390","1,524,898","1,524,898",243,"29,871",한국,한국,(주)싸이더스,CJ ENM,18세관람가,"드라마,코미디,멜로/로맨스",한재림,"강혜정,박해일,이대연,박그리나,이현정,박준명,박혜영,김기형,장준영,이은숙,박진우,서영화,우기홍,김자영"
48,하울의 움직이는 성,2004-12-23,"9,123,480,000",0.5%,"15,142,704,000","1,466,560","2,432,357",183,"22,303",일본,일본,지브리 스튜디오,"(주)이수C&E,(주)시네마서비스",전체관람가,애니메이션,미야자키 하야오,"바이쇼 치에코,기무라 다쿠야"
49,스타워즈 에피소드3 - 시스의복수,2005-05-26,"9,325,891,000",0.6%,"9,325,891,000","1,464,792","1,464,792",272,"28,465",미국,미국,루카스필름,이십세기폭스필름코퍼레이션,전체관람가,SF,조지 루카스,"이완 맥그리거,헤이든 크리스텐슨,나탈리 포트만"
50,주먹이 운다(Crying Fist),2005-04-01,"9,322,812,000",0.6%,"9,322,812,000","1,462,972","1,462,972",249,"32,964",한국,한국,"(주)브라보엔터테인먼트,시오필름(주)",쇼이스트(주),15세관람가,드라마,류승완,"최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천"
51,거룩한 계보,2006-10-19,"8,759,204,600",0.5%,"8,759,204,600","1,433,696","1,433,696",372,"32,111",한국,한국,(주)시네마서비스글로벌,CJ ENM,15세관람가,"드라마,액션",장진,"정재영,정준호,김성훈,김상일,주진모,박용민,김향배,박지형,장아람,김광현,김규철,김도희,김성진,임도영,정용수,이승영,오창렬,이영준,이정,장영남,이철민,이한위,이해영,윤유선,이상훈"
52,마다가스카,2005-07-14,"8,655,327,500",0.5%,"8,655,327,500","1,391,221","1,391,221",298,"30,109",미국,미국,드림웍스 SKG,CJ ENM,전체관람가,"애니메이션,코미디,어드벤처","에릭 다넬,톰 맥그라스",벤 스틸러
53,악마는 프라다를 입는다,2006-10-25,"8,286,577,600",0.5%,"8,286,577,600","1,366,933","1,366,933",209,"31,230",미국,미국,,"(주)퍼스트런,글뫼 주식회사,이십세기폭스코리아(주)",12세관람가,드라마,데이빗 프랭클,"메릴 스트립,앤 해서웨이"
54,야수와 미녀,2005-10-27,"8,378,297,000",0.5%,"8,378,297,000","1,339,833","1,339,833",202,"29,108",한국,한국,시오필름(주),(주)쇼박스,12세관람가,코미디,이계벽,"류승범,신민아,김강우,허명행,손정민,송민석,김원중,조주현,안성진,서승억,차재선,박근석,박대희,윤종신,이홍표,권성환,최인경,김주일,이정필,김병옥,함은정,안길강,유다인"
55,간 큰 가족,2005-06-09,"8,212,961,893",0.5%,"8,212,961,893","1,305,518","1,305,518",247,"31,517",한국,한국,(주)두사부필름,(주)쇼박스,12세관람가,코미디,조명남,"감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희,최교식,정희태,오창경"
