■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2007-01-01~2008-12-31   영화구분: 일반영화   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
52,권순분여사 납치사건,2007-09-12,"9,807,862,000",0.5%,"9,807,862,000","1,514,708","1,514,708",397,"46,725",한국,한국,"(주)어나더썬데이,㈜감독의집",(주)시네마서비스,15세이상관람가,코미디,김상진,"김서현,강성진,유해진,나문희,강경덕,김홍택,신승훈,조영민,백상열,백성기,김기환,정규영,유대현,유용주,이호철,이은수,최수영,김진숙,이준영,박상면,서영희,이대연,윤문식,박준면"
53,복면달호,2007-02-14,"9,008,143,000",0.5%,"9,008,143,000","1,507,970","1,507,970",310,"41,977",한국,한국,"(주)인앤인픽쳐스,㈜스튜디오이쩜영",㈜스튜디오이쩜영,12세이상관람가,"코미디,드라마","김상찬,김현수","차태현,임채무,이소연,정석용,이병준,조영호,최현주,박진영,권유진,우지은,문희주,채수미,유정현,유혜선,임세미,박아름,이시연,김기현,조용준,박선우,박영서"
54,더 게임,2008-01-30,"9,807,963,501",0.5%,"9,807,963,501","1,479,859","1,479,859",338,"31,877",한국,한국,(주)프라임엔터테인먼트,,15세이상관람가,스릴러,윤인호,"변희봉,손현주,신하균,이혜영,김혁,노승범,박유리,김효배,박유리,차승환,김석현,유영권,이용철,신정근,이은성,최욱,한재영"
55,나니아 연대기:캐스피언 왕자,2008-05-15,"9,236,619,000",0.5%,"9,236,619,000","1,468,903","1,468,903",604,"43,010",미국,"미국,영국",,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"어드벤처,가족,판타지",앤드류 아담슨,조지 헨리
56,마파도2,2007-01-18,"8,362,778,700",0.5%,"8,362,778,700","1,407,141","1,407,141",340,"30,784",한국,한국,코리아 엔터테인먼트,CJ ENM,12세이상관람가,코미디,이상훈,"김수미,김영찬,이유진,여운계,이문식,김지영,이규한,권용성,김누리,김대근,김규동,김동균,민성주,최용환,양용재,이철민,길해연,주현"
57,오션스 써틴,2007-06-14,"9,119,810,300",0.5%,"9,119,810,300","1,371,214","1,371,214",271,"32,636",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"범죄,드라마,코미디",스티븐 소더버그,"조지 클루니,브래드 피트,맷 데이먼"
58,궁녀,2007-10-18,"9,038,167,500",0.5%,"9,038,167,500","1,358,883","1,358,883",368,"42,096",한국,한국,(주)영화사아침,(주)시네마서비스,청소년관람불가,"미스터리,스릴러",김미정,"박진희,윤세아,김남진,김미경,김윤아,류정아,김현아,김유라,임정은,정예지,박정민,김은서,박소희,정재근,오진석,유지연,문가영,서영희,김학선,이은지,예수정,윤송아,박수영,전소현,남정희"
59,월ㆍE,2008-08-06,"8,289,679,500",0.4%,"8,289,679,500","1,325,834","1,325,834",347,"32,819",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"애니메이션,코미디,액션,어드벤처,가족,SF",앤드류 스탠튼,"엘리사 나이트,벤 버트"
60,검은 집,2007-06-21,"8,842,295,700",0.5%,"8,842,295,700","1,322,196","1,322,196",332,"39,880",한국,한국,"CJ ENM,가도카와헤럴드픽쳐스",CJ ENM,청소년관람불가,"스릴러,미스터리,공포(호러)",신태라,"김혜정,황정민,유선,송찬호,최정자,강신일,최찬민,김상택,이승은,양홍준,유지연,손호승,윤재성,문가영,이해영,유승목,이주실,원애리,김승훈,정인기,손병욱"
61,지구가 멈추는 날,2008-12-24,"8,582,183,500",0.5%,"8,582,183,500","1,307,068","1,307,068",469,"22,590",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"SF,액션,스릴러",스콧 데릭슨,"키아누 리브스,제니퍼 코넬리"
62,허브,2007-01-11,"7,644,307,000",0.4%,"7,652,767,000","1,302,952","1,304,662",267,"30,258",한국,한국,케이엠컬쳐㈜,(주)쇼박스,12세이상관람가,드라마,허인무,"강혜정,정경호,배종옥,이미영,이영유,황선화,심태윤,강승희,박성현,이미도,이원종,오정세,최종률,엄수정,천우희,정인기,이수빈"
