,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
3024,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,2012-12-13,23487000,759092000,3368,110771,15,131,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,타케모토 노보루,치바 유다이
3025,하이 스피드! –프리! 스타팅 데이즈-,2016-03-24,923000,172941500,113,23609,3,6,일본,(주)박수엔터테인먼트,전체관람가,애니메이션,타케모토 야스히로,"시마자키 노부나가,사토 사토미,스즈키 타츠히사,토요나가 토시유키,우치야마 코우키"
3026,공포극장:저주편,2017-09-08,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,공포,타케시 소네,사이토 야스카
3027,공포극장:절규편,2017-10-13,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 15세 관람가,공포,타케시 소네,코하라 하루카
3028,내 아내의 색다른 첫 경험,2019-05-17,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타케시 코쿠류,
3029,발정 난 유부녀:무한섹스,2019-06-24,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케시 코쿠류,
3030,발정난 유부녀-땡기는 날,2019-08-02,6000,6000,1,1,1,1,일본,,,,타케시 코쿠류,
3031,음란 하숙집:기 빨리는 하숙생들,2019-05-24,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타케시 코쿠류,
3032,젊은 아내:질펀한 하루,2019-12-18,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케시 코쿠류,
3033,극장판 유희왕 : 시공을 초월한 우정,2011-02-24,590209500,590209500,60371,60371,103,2752,일본,대원미디어(주),전체관람가,애니메이션,타케시타 켄이치,카자마 슌스케
3034,아내의 위험한 부업,2016-04-01,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타케우치 노리히로,"야스다 유리,콘노 미카"
3035,관광버스 속 정사,2016-07-14,3000,3000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타케우치 마사토시,아베 치하루
3036,밀림의 왕자 레오2,2012-11-08,274928000,274928000,44988,44988,159,1514,일본,에이원엔터테인먼트,전체관람가,애니메이션,타케우치 요시오,"김기철,안현서"
3037,테르마이 로마이,2013-07-18,23674500,23674500,3319,3319,7,181,일본,브릿지웍스 엔터테인먼트(주),15세이상관람가,코미디,타케우치 히데키,"아베 히로시,우에토 아야"
3038,"오늘 밤, 로맨스 극장에서",2018-07-11,301894900,301894900,35732,35732,155,4134,일본,(주)디스테이션,전체관람가,판타지,타케우치 히데키,"아야세 하루카,사카구치 켄타로"
3039,노다메 칸타빌레 Vol.1,2010-09-09,0,552960000,0,75847,1,1,일본,"(주)미로비젼,아뮤즈코리아(주)",전체관람가,코미디,타케우치 히데키,"타마키 히로시,우에노 주리"
3040,방과 후 미드나이터즈,2012-11-08,716000,716000,114,114,4,27,일본,"㈜T-JOY,(주)미로비젼",12세이상관람가,애니메이션,타케키요 히토시,"야마데라 코이치,타구치 히로마사"
3041,노천온천과 게이샤,2018-05-24,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,
3042,성욕처리의 비밀,2018-02-01,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,[국내] 청소년 관람불가,에로,타케호라 테츠야,
3043,에로영화 배우들의 몰래연애,2018-09-13,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,토모다 아야카
3044,욕정 가정부의 엉덩이,2017-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,
3045,젖은 애인백서,2018-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,일본,타케호라 테츠야,
3046,사춘기정사 미망인,2019-03-04,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,
