,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
4720,더 코브: 슬픈 돌고래의 진실,2009-10-29,0,20688500,0,3166,1,1,미국,(주)스폰지이엔티,12세이상관람가,다큐멘터리,루이 시호요스,"조 치숌,맨디-래 크루이크생크,이사벨 루카스,헤이든 파네티어,루이 시호요스"
27270,아스테릭스: 마법 물약의 비밀,2019-12-12,78814680,78814680,12714,12714,166,790,프랑스,(주)박수엔터테인먼트,전체관람가,애니메이션,"루이 클리시,알렉상드르 아스티에","박성영,서반석"
11844,아스테릭스: 신들의 전당,2015-04-30,108464000,108464000,15315,15315,104,801,프랑스,(주)나이너스엔터테인먼트,전체관람가,애니메이션,"루이 클리시,알렉상드르 아스티에",
9238,발레 공연,,16700,16700,35,35,1,3,프랑스,,,애니메이션,루이 토마,
29414,황야는 통곡한다,1971-01-24,334000,750000,174,312,1,4,미국,,,서부극(웨스턴),루이기 바쪼니,"프랑코 네로,티나 오몽"
31397,새벽의 7인,1976-09-03,60000,1401000,30,428,1,1,미국,,미성년자관람불가,드라마,루이스 길버트,"조스 아클랜드,마틴 쇼"
28867,비스마르크호를 격침하라,,628000,1340000,318,692,1,6,영국,,,전쟁,루이스 길버트,"케네스 모어,다나 윈터"
4283,거북이,,2125,2125,6,6,1,1,포르투갈,,,애니메이션,"루이스 다 마타 알메이다,페드로 리노",
23069,스페셜리스트,1994-11-19,123000,123000,41,41,1,2,미국,,연소자관람불가,드라마,루이스 로사,"샤론 스톤,실베스터 스탤론"
22270,스나이퍼,1993-02-20,140000,140000,70,70,1,2,미국,,고등학생이상관람가,드라마,루이스 로사,"톰 베린저,빌리 제인"
16864,3D 프린팅: 전설을 만들다,,13500,655500,3,89,1,1,미국,,,다큐멘터리,"루이스 로페즈,J. 클레이 트윌",
29778,마리솔의 리틀 앤젤스,1971-07-24,246000,246000,123,123,1,9,멕시코,,,드라마,루이스 루시아,"마리솔,마리솔"
28175,길은 멀어도 마음만은,1977-07-16,2014000,7576000,997,3773,1,21,스페인,,전체관람가,가족,루이스 루시아,"마리솔,안셀모 두아르테,마리아 마호르,줄리오 산후안"
25016,더 독,2005-09-16,6000,2024849500,1,321205,1,1,프랑스,"(주)아펙스 엔터테인먼트,UIP코리아",15세관람가,액션,루이스 리테리어,"이연걸,모건 프리먼"
27946,타이탄,2010-04-01,2972000,325132020,1486,2643969,1,26,미국,워너브러더스 코리아(주),12세이상관람가,액션,루이스 리테리어,"랄프 파인즈,샘 워싱턴,리암 니슨,알렉사 다바로스,젬마 아터튼"
16385,나우 유 씨 미 : 마술사기단,2013-08-22,66000,1966888685,10,2718237,1,2,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,범죄,루이스 리테리어,"제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랑코,마이클 케인,모건 프리먼"
22829,바운티 호의 반란,,147000,147000,49,49,1,1,미국,,,어드벤처,루이스 마일스톤,말론 브란도
21448,몬테즈마의 영웅들,,252000,252000,126,126,1,4,미국,,,어드벤처,루이스 마일스톤,"리차드 위드마크,잭 팰런스"
939,레 미제라블,,1694000,1694000,847,847,1,6,미국,,,드라마,루이스 마일스톤,"마이클 레니,데브라 파겟"
