,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
17375,나스 수트케이스의 철새,1900-01-01,1140250,1140250,290,290,20,42,일본,0,등급없음,애니메이션,코사카키타로,"['오이즈미히로시', '야마데라코이치', '사카모토마아야']",0
17376,나스 안달루시아의 여름,2014-04-25,1140250,1140250,290,290,20,42,일본,0,12세이상관람가,애니메이션,코사카키타로,['0'],0
17377,옷코는 초등학생 사장님!,2019-02-27,95118580,95118580,12611,12611,155,1026,일본,(주)트리플픽쳐스,전체관람가,애니메이션,코사카키타로,"['코바야시세이란', '미즈키나나', '이치류사이테이유']",0
17378,낙원은 서쪽이다,1900-01-01,676000,676000,124,124,1,3,프랑스,0,등급없음,드라마,0,"['리카르도스카마르치오', '오디세즈파파스필리오풀로스', '크리스틴로스']",0
17379,무뢰한들,1900-01-01,94000,94000,14,14,1,2,이탈리아,0,등급없음,장르없음,0,['0'],0
17380,섹스감옥-여죄수의 복수,2018-08-24,2000,2000,1,1,1,1,일본,0,청소년관람불가,에로,코시자카야스시,['0'],17
17381,나만의 비밀정사-78일,2017-07-06,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코시자카야스시,['0'],35
17382,긴자처녀경매-야광화,2017-02-16,8000,8000,1,1,1,1,일본,0,청소년관람불가,에로,코시자카야스시,['0'],39
17383,완벽한 파트너,2015-10-05,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코시자카야스시,"['아이카와유이', '나카타히로미']",54
17384,완전한 노예,2016-02-25,110000,110000,11,11,1,2,일본,(주)에스와이미디어,청소년관람불가,에로,코시자카야스시,['쿠리바야시리리'],41
17385,그녀의 섹스 테크닉,2015-10-12,150000,150000,20,20,1,2,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코시자카야스시,['오자와아리'],45
17386,왕게임 - 58일후 전편,2015-05-13,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,코시자카야스시,['아야나레이'],54
17387,왕게임-48일후 전편,2015-04-01,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,코시자카야스시,"['시마무라마이카', '쿠마시로키오미']",0
17388,왕게임-48일후 후편,2015-04-15,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,코시자카야스시,"['시마무라마이카', '쿠마시로키오미']",54
17389,왕게임-58일 후 후편,2015-05-27,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,코시자카야스시,['아야나레이'],54
