,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
111,사랑하는 시바여 돌아오라,1957-01-19,606000,3267000,303,1396,1,21,미국,,,장르없음,다니엘 만
112,동창생의 음란 마사지,2017-06-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
113,청바지 유부녀의 유혹,2017-06-22,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
114,강아지 산책중인 유부녀,2017-05-11,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
115,그녀들과 레슬링,2017-04-13,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
116,도쿄 황제마사지,2017-04-06,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
117,미인 간호사의 성감대,2017-05-04,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
118,스튜어디스 성감마사지,2017-04-06,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다케다 히데오
119,달콤한 젊은 미망인,2017-06-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다테 류지
120,흠뻑 젖은 아내,2017-07-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,다테 류지
121,격렬의 거리,,22500,22500,5,5,1,1,캐나다,,,장르없음,댄 딕스
122,스위트룸,,7000,7000,14,14,1,2,이탈리아,,,장르없음,"데이비드 자마그니,나디아 라노치"
123,데스티네이션 도쿄,,642000,3213000,321,1604,1,9,미국,,,장르없음,델머 데이비스
124,프라이빗 헬 36,,198000,198000,33,33,1,2,미국,,,장르없음,돈 시겔
125,마사지를 받는 여직원들,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,드래곤 니시카와
126,마사지에 젖은 오르가즘,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,드래곤 니시카와
127,실신직전 마사지,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,드래곤 니시카와
128,찰진엉덩이 마사지,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,드래곤 니시카와
129,해외유학녀의 마사지,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,드래곤 니시카와
130,이제 우리는 당신을 형제라 부를 것이다,,51000,72000,39,55,1,2,칠레,,,장르없음,라울 루이즈
131,들백합,,178000,178000,67,67,1,3,미국,,,장르없음,랄프 넬슨
132,솔저 블루,1971-05-29,50000,256000,25,99,1,1,미국,,,장르없음,랄프 넬슨
133,워돈돈 - 전범의 기준,,342000,342000,125,125,1,2,미국,,,장르없음,레베카 리치만 코헨
134,레츠 고 네이티브,,138000,138000,29,29,1,2,미국,,,장르없음,레오 맥커레이
135,그녀의 속사정,2018-02-07,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,레이 오자키
136,시아버지:며느리의 간호,2018-02-07,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,레이 오자키
137,우리가 시도라도 했다면,,24400,24400,26,26,1,3,오스트리아,,,장르없음,레인홀드 비드너
138,즐거운 여름,,610000,610000,257,257,1,10,미국,,,장르없음,"로버트 Z. 레오나드,버스터 키튼"
139,캘리포니아 돌스,2005-06-29,498000,498000,75,75,1,2,미국,,,장르없음,로버트 알드리치
140,마지막 일몰,,797000,797000,396,396,1,12,미국,,,장르없음,로버트 알드리치
141,아마도 악마가,,1247000,1247000,189,189,1,3,프랑스,,,장르없음,로베르 브레송
142,인디아,2011-02-18,249000,249000,39,39,1,3,프랑스,,,장르없음,로베르토 로셀리니
143,무방비 도시,2004-06-29,2415000,2415000,1200,1200,1,18,이탈리아,,,장르없음,로베르토 로셀리니
144,귀다,,57250,57250,22,22,1,5,브라질,,[국내] 전체 관람가,장르없음,로사나 우르베스
145,5번가에서 생긴 일,,216000,216000,45,45,1,3,미국,,,장르없음,로이 델 루스
146,해적 소굴 잠입기,,185000,185000,43,43,1,2,캐나다,,,장르없음,"록 바이즈나우쓰,앤드류 모니즈,로저 싱,마트베이 지보프"
147,우리 할머니는 점쟁이,,33500,33500,10,10,1,2,대만,,,장르없음,루 룰루
148,실크 스타킹,,2004000,3415000,1022,1733,1,35,미국,,[국내] 12세 관람가,장르없음,루벤 마물리안
149,길은 멀어도 마음만은,1977-07-16,2014000,7576000,997,3773,1,21,스페인,,[국내] 전체 관람가,장르없음,루이스 루시아
150,폭풍의 언덕,,572000,572000,122,122,1,3,멕시코,,,장르없음,루이스 브뉘엘
151,폭력과 열정,,344000,568000,63,113,1,4,이탈리아,,,장르없음,루치노 비스콘티
152,백야,,232000,5531000,116,2406,1,7,이탈리아,,,장르없음,루치노 비스콘티
153,가벨라 극장의 움직이는 포스터,,11398,11398,51,51,1,2,크로아티아,,,장르없음,루카 부젝
