,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
7431,154,사토라레,2003-11-21,198034500,198034500,30598,30598,4,332,일본,(주)시네마서비스,전체관람가,드라마,모토히로 카츠유키,"안도 마사노부,스즈키 쿄카"
7432,597,앤티 맘,,786000,786000,393,393,1,12,미국,0,등급없음,장르없음,모튼 다코스타,0
7433,24189,뮤직맨,,282000,1307000,141,646,1,12,미국,0,등급없음,코미디,모튼 다코스타,"로버트 프레스턴,셜리 존스,버디 해킷"
7434,21177,리베라시옹 데이,,27500,27500,7,7,1,2,노르웨이,0,등급없음,다큐멘터리,모튼 트라아빅,0
7435,24190,헤드헌터,2014-07-12,7000,7000,1,1,1,1,노르웨이,(주)투한미디어,청소년관람불가,액션,모튼 틸덤,엑셀 헨니
7436,24191,패신저스,2017-01-04,1172499622,1175707622,668576,668977,608,21517,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,어드벤처,모튼 틸덤,"크리스 프랫,제니퍼 로렌스,마이클 쉰,앤디 가르시아,로렌스 피쉬번"
7437,24192,이미테이션 게임,2015-02-17,427500,772942232,67,1744213,1,2,영국,메가박스중앙(주)플러스엠,15세이상관람가,드라마,모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드"
7438,21693,민달팽이의 침략,,7917,7917,19,19,1,3,덴마크,0,전체관람가,애니메이션,모튼 헬겔랜드,0
7439,1010,쓰레기 시인,2006-09-21,1064000,1064000,246,246,1,16,이란,CJ ENM,전체관람가,멜로로맨스,모하마드 아마디,"사베르 압바르,모하메드 에스칸다리,파르진 모하데스"
7440,23617,나치의 아이들,,1956000,1956000,326,326,1,2,독일,0,등급없음,다큐멘터리,모하마드 파록마네시,0
7441,24193,벽장 속의 결혼,,88500,88500,23,23,1,2,이란,0,등급없음,다큐멘터리,모하마드레자 파르저드,0
7442,21029,"충돌: 아랍의 봄, 그 이후",,5000,5000,5,5,1,2,이집트,0,12세이상관람가,드라마,모하메드 디아브,"넬리 카림,하니 아델"
7443,24194,바빌론의 아들,2011-02-24,17110500,17110500,2334,2334,5,207,영국,필름메신저,전체관람가,드라마,모하메드 알 다라지,"샤자다 후세인,야서 탤리브"
7444,24195,싸커 퀸즈,2020-05-27,11932580,11932580,1524,1524,57,400,프랑스,와이드 릴리즈(주),12세이상관람가,코미디,모하메드 하미디,"카드 메라드,알반 이바노프,셀린느 살레테,사브리나 오아자니,로르 칼라미,귀욤 고익스"
7445,24196,8년 전쟁: 이란 vs 이라크,2019-04-25,415000,415000,80,80,5,23,이란,0,15세이상관람가,액션,모하메드 호세인 마흐다비안,하디 헤자지파르
7446,24197,연결도시,,560000,560000,140,140,1,6,기타,0,등급없음,드라마,모하메드 후쉬키,사바 모우바락
7447,24198,헝겊조각 베개 친구들 - Ep.11 돌아와요 해님!,,4125,4125,7,7,1,2,중국,0,등급없음,애니메이션,모한 서브라마니암,0
7448,24199,포항,2019-02-27,8019400,8019400,1161,1161,8,107,한국,CL2D Film,12세이상관람가,드라마,모현신,"고관재,홍서백,최현아,박창근,김승직,최현아,이형석,이은영,정윤석,수안홍,신재욱,정혜련,이대식,정혜린,심성훈,이도형,장혜미,영건,희야,박재홍"
7449,24200,널 기다리며,2016-03-10,939336040,939336040,635235,635235,551,33774,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,모홍진,"김은우,심은경,윤제문,김성오,오태경,정해균,안재홍,김원해,지대한,이호열,장준현,정재숙,정진혁,조제웅,유경훈,이동혁,김서라,임용순,손경원,주부진,김남순"
7450,24201,사랑의 시간,2003-11-28,39000,39000,13,13,1,2,이란,㈜영화사 백두대간,15세이상관람가,드라마,모흐센 마흐말바프,"쉬버 게레데,압돌라흐먼 팔러이"
7451,24202,정원사,,80000,80000,17,17,1,2,이란,0,등급없음,다큐멘터리,모흐센 마흐말바프,"마이삼 마흐말바프,모흐센 마흐말바프"
7452,598,순수의 순간,,96000,96000,32,32,1,3,이란,0,전체관람가,장르없음,모흐센 마흐말바프,0
7453,24203,살람 시네마,,90000,255000,18,73,1,2,이란,0,12세이상관람가,다큐멘터리,모흐센 마흐말바프,0
7454,2116,섹스와 철학,2005-12-09,20000,4776000,5,711,1,1,프랑스,(주)유레카픽쳐스,12세이상관람가,드라마,모흐센 마흐말바프,다레르 나자로브
7455,24204,어느 독재자,2017-04-06,14966700,15602700,2147,2237,20,166,프랑스,주식회사 디에스이이디,15세이상관람가,드라마,모흐센 마흐말바프,"미하일 고미아쉬빌리,다치 오르벨라쉬빌리"
7456,24205,이 티셔츠를 어떡하지?,,103000,103000,22,22,1,2,스웨덴,0,등급없음,다큐멘터리,"몬스 몬손,리홍치",0
7457,24206,자유의 이차선,,1543000,2412000,224,387,1,3,미국,0,등급없음,드라마,몬테 헬만,"제임스 테일러,워렌 오티스,로리 버드"
7458,1578,사령(死靈) - 리케의 저주,2007-08-23,7820500,7820500,1222,1222,7,116,태국,프리비젼엔터테인먼트,15세이상관람가,공포,몬톤 아라양쿤,"피샤나르트 사카콘,아파시리 니티폰"
7459,20503,집주인 물건 빨아주는 세탁가정부,2020-06-10,2000,2000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,몬티 란쿄쿠,0
7460,24207,회사 후배와 몰래하는 육덕미인,2020-07-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,몬티 란쿄쿠,0
7461,24208,인썸니악: 사라진기억,2016-06-14,300000,300000,60,60,1,1,미국,주식회사 루믹스미디어,청소년관람불가,범죄,몬티 미란다,"대니 트레조,클레어 그랜트"
7462,22657,살인자 말리나의 4막극,,369000,369000,63,63,1,2,인도네시아,0,등급없음,드라마,몰리 수리아,"마샤 티모시,데아 판넨드라,에기 페드리"
7463,24209,애니멀 러브,,88625,88625,143,143,1,1,미국,0,등급없음,드라마,몰리 존스,"셀마 블레어,제레미 데이비스"
7464,21158,부활 - 미래는 미래가 아니다,,2204,2204,7,7,1,2,대만,0,전체관람가,애니메이션,몰스 잔,0
7465,24210,천하영웅 자객,2015-01-07,228000,228000,44,44,2,4,중국,(주)케이알씨지,15세이상관람가,액션,묘술,"양가인,진관태"
7466,24211,몽키킹 제로,2016-08-17,316000,316000,84,84,5,83,홍콩,(주)케이알씨지,12세이상관람가,멜로로맨스,묘술,"원효초,유승준"
