영화명,개봉일,누적관객수,배급사,감독,배우
포켓몬 레인저와 바다의 왕자 마나피,2006-07-20,133827,(주)이수C&E,유야마쿠니히코,"오오타니이쿠에,쉬라토리유리"
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,234093,CJENM,유야마쿠니히코,"이선호,김선혜,문남숙"
포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,338008,실버스푼,유야마쿠니히코,오오타니이쿠에
포켓몬스터 2 - 루기아의 탄생,2001-08-11,213,0,"유야마쿠니히코,마이클헤이그니",마츠모토리카
라스트프로포즈,2009-03-05,40973,롯데쇼핑㈜롯데엔터테인먼트,유위강,"유덕화,서기"
트랩,2009-01-29,71979,0,유위강,"리차드기어,클레어데인즈"
데이지,2006-03-09,911420,(주)쇼박스,유위강,"전지현,정우성,이성재,유순철"
무간도2 - 혼돈의 시대,2003-12-05,1826,태창엔터테인먼트(주),"유위강,맥조휘","진관희,여문락,황추생,증지위"
이니셜 D,2006-03-01,10166,미디어라인코리아,"유위강,맥조휘","주걸륜,진관희"
무간도3 - 종극무간,2004-07-02,54307,이십세기폭스코리아(주),"유위강,맥조휘","양조위,유덕화,여명"
상성: 상처받은 도시,2007-05-31,82083,(주)쇼박스,"유위강,맥조휘","양조위,금성무"
이브의 유혹 - 그녀만의 테크닉,2007-08-20,633,(주)화인웍스,유재완,"서영,전세홍,유진아,손민석"
트레져 헌터: 비밀의 책,2020-01-14,990,(주)소나무픽쳐스,유정,"구사감,조엽색"
서유기 선리기연,1900-01-01,1278,0,유진위,"주성치,오맹달,주인"
서유기 월광보합,1995-09-16,1502,0,유진위,"주성치,오맹달,막문위"
호박전,2006-06-22,1651,0,유진희,"강구한,김창열,김옥경"
별별 이야기,2005-09-23,5899,영화사청어람(주),"유진희,권오성,박윤경,이성강,이애림,김준,박재동,정연주","백현주,정명준,이영민"
봄의 눈,2007-03-08,236,(주)아미가스필름,유키사다이사오,"츠마부키사토시,다케우치유코"
오늘의 사건사고,2006-04-06,4721,(주)스폰지이엔티,유키사다이사오,츠마부키사토시
세상의 중심에서 사랑을 외치다,2004-10-08,315274,(주)동아수출공사,유키사다이사오,"나가사와마사미,오사와타카오,시바사키코우"
말죽거리 잔혹사,2004-01-16,604969,CJENM,유하,"권상우,이정진,한가인,김인권,박효준,이종혁,백봉기,안내상,조진웅,김동영,강동수,이동연,김대성,이민구,조주연,민성주,김성문,최선중,전진우,김소라,김수민,박수영,정영민,정진모,우성,김정열,양종규,이광재,이진욱,이혜선,김병춘,한재영,천호진,김부선,권태원,서동원,백주희,박혁민"
비열한 거리,2006-06-15,1829887,CJENM,유하,"조인성,천호진,김원진,남궁민,이보영,진구,윤제문,선우은숙,이종혁,김효선,신윤철,박효준,조진웅,문성혁,조진철,박유민,안용우,장보경,박진성,김광수,김상식,박경민,홍의정,김필수,윤소영,박민우,박병렬,전경수,임미경,정미소,박세환,임정우,김철준,정재은,오기환,김정한,서민경,김병춘,김영필,이신성,이양희,류성현,이정민,신유람,박혁민,조운,이현우"
